,Dataset,Frame,Synthesized View,X.passes,WS.PSNR,CEL,theo_time,p1,p2,p3
126,TechnicolorHijack,50,2,3,26.7707,0.013046997092188609,518.947,5,6,7
127,TechnicolorHijack,50,3,1,18.6758,-0.02506482936154911,52.831,1,0,0
128,TechnicolorHijack,50,3,1,19.0685,-0.0033939866499548186,274.456,2,0,0
129,TechnicolorHijack,50,3,1,28.0308,0.028866483348609837,278.205,3,0,0
130,TechnicolorHijack,50,3,1,28.0968,0.027997040131119432,289.202,4,0,0
131,TechnicolorHijack,50,3,1,28.0759,0.02422997761789608,333.302,5,0,0
132,TechnicolorHijack,50,3,1,28.0626,0.015577796240122108,517.57,6,0,0
133,TechnicolorHijack,50,3,1,28.0316,0.015476724983476157,518.947,7,0,0
134,TechnicolorHijack,50,3,2,19.0663,-0.0034020025067770486,274.456,1,2,0
135,TechnicolorHijack,50,3,2,27.8814,0.02832946927625312,278.205,1,3,0
136,TechnicolorHijack,50,3,2,27.9434,0.027466615030324826,289.202,1,4,0
137,TechnicolorHijack,50,3,2,27.9211,0.023765533960192254,333.302,1,5,0
138,TechnicolorHijack,50,3,2,27.9012,0.015265954363660952,517.57,1,6,0
139,TechnicolorHijack,50,3,2,27.8687,0.015162820095308385,518.947,1,7,0
140,TechnicolorHijack,50,3,2,27.8489,0.028212648945921178,278.205,2,3,0
141,TechnicolorHijack,50,3,2,27.9287,0.027415785506324297,289.202,2,4,0
142,TechnicolorHijack,50,3,2,27.9066,0.02372202987080786,333.302,2,5,0
143,TechnicolorHijack,50,3,2,27.8826,0.015230017195741637,517.57,2,6,0
144,TechnicolorHijack,50,3,2,27.8519,0.01513044684717322,518.947,2,7,0
145,TechnicolorHijack,50,3,2,28.1513,0.028185489726903684,289.202,3,4,0
146,TechnicolorHijack,50,3,2,28.1502,0.024452898572465815,333.302,3,5,0
147,TechnicolorHijack,50,3,2,28.2459,0.01593195123364955,517.57,3,6,0
148,TechnicolorHijack,50,3,2,28.2477,0.01589314515740528,518.947,3,7,0
149,TechnicolorHijack,50,3,2,28.0936,0.024283082609765312,333.302,4,5,0
150,TechnicolorHijack,50,3,2,28.1717,0.015788588983132717,517.57,4,6,0
151,TechnicolorHijack,50,3,2,28.1766,0.01575613694654753,518.947,4,7,0
152,TechnicolorHijack,50,3,2,28.1515,0.015749560445930014,517.57,5,6,0
153,TechnicolorHijack,50,3,2,28.1563,0.01571701927171754,518.947,5,7,0
154,TechnicolorHijack,50,3,2,28.063,0.015537232125824023,518.947,6,7,0
155,TechnicolorHijack,50,3,3,19.0663,-0.0033561582286443514,278.205,1,2,3
156,TechnicolorHijack,50,3,3,19.0663,-0.0032285392217204644,289.202,1,2,4
157,TechnicolorHijack,50,3,3,19.0663,-0.0028013633281528515,333.302,1,2,5
158,TechnicolorHijack,50,3,3,19.0663,-0.0018040071874335871,517.57,1,2,6
159,TechnicolorHijack,50,3,3,19.0663,-0.0017992203442740815,518.947,1,2,7
160,TechnicolorHijack,50,3,3,27.8814,0.027252232003928047,289.202,1,3,4
161,TechnicolorHijack,50,3,3,27.8814,0.023646422763739787,333.302,1,3,5
162,TechnicolorHijack,50,3,3,27.8814,0.0152276986687791,517.57,1,3,6
163,TechnicolorHijack,50,3,3,27.8814,0.015187292729315323,518.947,1,3,7
164,TechnicolorHijack,50,3,3,27.9434,0.02383244024938344,333.302,1,4,5
165,TechnicolorHijack,50,3,3,27.9434,0.015347489228510152,517.57,1,4,6
166,TechnicolorHijack,50,3,3,27.9434,0.015306765430766534,518.947,1,4,7
167,TechnicolorHijack,50,3,3,27.9211,0.015304403269123013,517.57,1,5,6
168,TechnicolorHijack,50,3,3,27.9211,0.01526379379782521,518.947,1,5,7
169,TechnicolorHijack,50,3,3,27.9012,0.015225446914617484,518.947,1,6,7
170,TechnicolorHijack,50,3,3,27.8489,0.02713985380460716,289.202,2,3,4
171,TechnicolorHijack,50,3,3,27.8489,0.0235489135978782,333.302,2,3,5
172,TechnicolorHijack,50,3,3,27.8489,0.015164905230210406,517.57,2,3,6
173,TechnicolorHijack,50,3,3,27.8489,0.015124665910006226,518.947,2,3,7
174,TechnicolorHijack,50,3,3,27.9287,0.023788336103593734,333.302,2,4,5
175,TechnicolorHijack,50,3,3,27.9287,0.015319087273219078,517.57,2,4,6
176,TechnicolorHijack,50,3,3,27.9287,0.01527843883864826,518.947,2,4,7
177,TechnicolorHijack,50,3,3,27.9066,0.015276387734992368,517.57,2,5,6
