,Dataset,Frame,Synthesized View,X.passes,WS.PSNR,CEL,theo_time,p1,p2,p3
220,ClassroomVideo,20,4,3,34.9852,0.10334834513817526,144.997,1,2,5
221,ClassroomVideo,20,4,3,34.9852,0.10221618930035536,146.603,1,2,6
222,ClassroomVideo,20,4,3,34.9852,0.09887762037043146,151.553,1,2,7
223,ClassroomVideo,20,4,3,34.9852,0.10450513278286097,143.392,1,3,4
224,ClassroomVideo,20,4,3,34.9852,0.10334834513817526,144.997,1,3,5
225,ClassroomVideo,20,4,3,34.9852,0.10221618930035536,146.603,1,3,6
226,ClassroomVideo,20,4,3,34.9852,0.09887762037043146,151.553,1,3,7
227,ClassroomVideo,20,4,3,34.9852,0.10334834513817526,144.997,1,4,5
228,ClassroomVideo,20,4,3,34.9852,0.10221618930035536,146.603,1,4,6
229,ClassroomVideo,20,4,3,34.9852,0.09887762037043146,151.553,1,4,7
230,ClassroomVideo,20,4,3,34.9852,0.10221618930035536,146.603,1,5,6
231,ClassroomVideo,20,4,3,34.9852,0.09887762037043146,151.553,1,5,7
232,ClassroomVideo,20,4,3,34.9852,0.09887762037043146,151.553,1,6,7
233,ClassroomVideo,20,4,3,34.9833,0.10449188239232314,143.392,2,3,4
234,ClassroomVideo,20,4,3,34.9833,0.10333524141878796,144.997,2,3,5
235,ClassroomVideo,20,4,3,34.9833,0.10220322912900827,146.603,2,3,6
236,ClassroomVideo,20,4,3,34.9833,0.09886508350214117,151.553,2,3,7
237,ClassroomVideo,20,4,3,34.9833,0.10333524141878796,144.997,2,4,5
238,ClassroomVideo,20,4,3,34.9833,0.10220322912900827,146.603,2,4,6
239,ClassroomVideo,20,4,3,34.9833,0.09886508350214117,151.553,2,4,7
240,ClassroomVideo,20,4,3,34.9833,0.10220322912900827,146.603,2,5,6
241,ClassroomVideo,20,4,3,34.9833,0.09886508350214117,151.553,2,5,7
242,ClassroomVideo,20,4,3,34.9833,0.09886508350214117,151.553,2,6,7
243,ClassroomVideo,20,4,3,34.9823,0.10332834472437362,144.997,3,4,5
244,ClassroomVideo,20,4,3,34.9823,0.10219640798619402,146.603,3,4,6
245,ClassroomVideo,20,4,3,34.9823,0.09885848515040944,151.553,3,4,7
246,ClassroomVideo,20,4,3,34.9823,0.10219640798619402,146.603,3,5,6
247,ClassroomVideo,20,4,3,34.9823,0.09885848515040944,151.553,3,5,7
248,ClassroomVideo,20,4,3,34.9823,0.09885848515040944,151.553,3,6,7
249,ClassroomVideo,20,4,3,34.8534,0.10131716267743497,146.603,4,5,6
250,ClassroomVideo,20,4,3,34.8534,0.09800795761218849,151.553,4,5,7
251,ClassroomVideo,20,4,3,34.8532,0.09800663794184214,151.553,4,6,7
252,ClassroomVideo,20,4,3,34.8355,0.09788984711619039,151.553,5,6,7
253,ClassroomVideo,20,5,1,14.6402,-0.03970957584737914,134.975,1,0,0
254,ClassroomVideo,20,5,1,15.2773,-0.033100407911521045,142.678,2,0,0
255,ClassroomVideo,20,5,1,32.701,0.08870342563816043,143.185,3,0,0
256,ClassroomVideo,20,5,1,32.7066,0.08861442758312878,143.392,4,0,0
257,ClassroomVideo,20,5,1,32.7109,0.08766319303157998,144.997,5,0,0
258,ClassroomVideo,20,5,1,32.697,0.08660805031274942,146.603,6,0,0
259,ClassroomVideo,20,5,1,32.6519,0.08348168627476855,151.553,7,0,0
260,ClassroomVideo,20,5,2,15.2767,-0.033104613184933906,142.678,1,2,0
261,ClassroomVideo,20,5,2,32.314,0.08600062855746063,143.185,1,3,0
262,ClassroomVideo,20,5,2,32.3189,0.08591065052443651,143.392,1,4,0
263,ClassroomVideo,20,5,2,32.3229,0.08498727559880546,144.997,1,5,0
264,ClassroomVideo,20,5,2,32.3115,0.08397849975784943,146.603,1,6,0
265,ClassroomVideo,20,5,2,32.2629,0.08091492745112272,151.553,1,7,0
266,ClassroomVideo,20,5,2,32.3118,0.08598526381953416,143.185,2,3,0
267,ClassroomVideo,20,5,2,32.3145,0.08587996540950682,143.392,2,4,0
268,ClassroomVideo,20,5,2,32.3185,0.08495693014338226,144.997,2,5,0
269,ClassroomVideo,20,5,2,32.3061,0.08394166558665239,146.603,2,6,0
270,ClassroomVideo,20,5,2,32.255,0.080862800472442,151.553,2,7,0
271,ClassroomVideo,20,5,2,32.7012,0.08857676857844231,143.392,3,4,0
272,ClassroomVideo,20,5,2,32.7013,0.08759698476520206,144.997,3,5,0
273,ClassroomVideo,20,5,2,32.7,0.08662851374119221,146.603,3,6,0
274,ClassroomVideo,20,5,2,32.7024,0.08381490303722129,151.553,3,7,0
275,ClassroomVideo,20,5,2,32.7068,0.08763491658448105,144.997,4,5,0
276,ClassroomVideo,20,5,2,32.7055,0.08666603002667067,146.603,4,6,0
277,ClassroomVideo,20,5,2,32.7079,0.08385119397174587,151.553,4,7,0
278,ClassroomVideo,20,5,2,32.7096,0.08669399671220918,146.603,5,6,0
279,ClassroomVideo,20,5,2,32.712,0.083878247213846,151.553,5,7,0
280,ClassroomVideo,20,5,2,32.6997,0.08379708748754561,151.553,6,7,0
281,ClassroomVideo,20,5,3,15.2767,-0.03298739393092852,143.185,1,2,3
282,ClassroomVideo,20,5,3,15.2767,-0.0329397734880607,143.392,1,2,4
283,ClassroomVideo,20,5,3,15.2767,-0.032575156727380566,144.997,1,2,5
284,ClassroomVideo,20,5,3,15.2767,-0.0322183038546278,146.603,1,2,6
285,ClassroomVideo,20,5,3,15.2767,-0.03116599473451532,151.553,1,2,7
286,ClassroomVideo,20,5,3,32.314,0.08587647846462844,143.392,1,3,4
287,ClassroomVideo,20,5,3,32.314,0.08492589501851762,144.997,1,3,5
288,ClassroomVideo,20,5,3,32.314,0.08399555261488509,146.603,1,3,6
289,ClassroomVideo,20,5,3,32.314,0.0812521032246145,151.553,1,3,7
290,ClassroomVideo,20,5,3,32.3189,0.08495968882114802,144.997,1,4,5
291,ClassroomVideo,20,5,3,32.3189,0.08402897621467499,146.603,1,4,6
292,ClassroomVideo,20,5,3,32.3189,0.0812844351481,151.553,1,4,7
293,ClassroomVideo,20,5,3,32.3229,0.08405626078593205,146.603,1,5,6
294,ClassroomVideo,20,5,3,32.3229,0.08131082855502694,151.553,1,5,7
295,ClassroomVideo,20,5,3,32.3115,0.08123560734528516,151.553,1,6,7
296,ClassroomVideo,20,5,3,32.3118,0.08586113590716357,143.392,2,3,4
297,ClassroomVideo,20,5,3,32.3118,0.084910722290806,144.997,2,3,5
298,ClassroomVideo,20,5,3,32.3118,0.08398054610069369,146.603,2,3,6
299,ClassroomVideo,20,5,3,32.3118,0.08123758685080466,151.553,2,3,7
300,ClassroomVideo,20,5,3,32.3145,0.08492934336572482,144.997,2,4,5
301,ClassroomVideo,20,5,3,32.3145,0.08399896318629224,146.603,2,4,6
302,ClassroomVideo,20,5,3,32.3145,0.08125540240048038,151.553,2,4,7
303,ClassroomVideo,20,5,3,32.3185,0.0840262477575493,146.603,2,5,6
304,ClassroomVideo,20,5,3,32.3185,0.08128179580740731,151.553,2,5,7
305,ClassroomVideo,20,5,3,32.3061,0.08119997624593377,151.553,2,6,7
306,ClassroomVideo,20,5,3,32.7012,0.0875962950957606,144.997,3,4,5
